"独自番号","安定所名","求人番号","事_業_所","所_在_地","資本金","全社員数","就業場所人数","求人数","就業場所","月額賃金","賞与","時間外平均","週休２日制","年間休日数","業種8種","産業分類","職種"
"0808","都城公共職業安定所","45040-231259","都城木材株式会社","宮崎県都城市吉尾町758番地1","1,800万円",86,66,2,"宮崎県",\190000,"あり",10,"その他",105,"製造分野","製材業，木製品製造業","製造木材加工木工機械オペレーター"
"0809","都城公共職業安定所","45040-230159","都城木材株式会社","宮崎県都城市吉尾町７５８番地１","1,800万円",86,66,1,"宮崎県",\190000,"あり",10,"その他",105,"製造分野","製材業，木製品製造業","保全"
"0810","ハローワークプラザ宮崎","45016-130959","宮崎日産自動車株式会社","宮崎県宮崎市花ヶ島町屋形町１１７９番地","5,000万円",200,20,5,"宮崎県",\175000,"あり",20,"その他",110,"販売・小売・スーパー","自動車小売業","自動車整備士（テクニカルスタッフ）"
"0811","ハローワークプラザ宮崎","45016-128259","宮崎日産自動車株式会社","宮崎県宮崎市花ヶ島町屋形町１１７９番地","5,000万円",200,25,3,"宮崎県",\175000,"あり",20,"その他",110,"販売・小売・スーパー","自動車小売業","テクニカルアドバイザー：整備の受付事務"
"0812","都城公共職業安定所","45040-264359","株式会社ワールドソーイング宮崎工場","宮崎県都城市山田町中霧島大堀３４５７番地１","1,000万円",185,108,3,"宮崎県",\177400,"あり",13,"その他",105,"製造分野","外衣・シャツ製造業（和式を除く）","縫製"
"0813","久留米公共職業安定所","40050-346159","北原ウエルテック、株式会社","福岡県久留米市宮ノ陣4丁目6番8号","5,000万円",160,160,10,"福岡県",\174000,"あり",39,"その他",105,"製造分野","金属加工機械製造業","マシンオペレーター(半導体部品製造スタッ フ)"
"0814","福岡中央公共職業安定所","40010-122559","総合システム管理株式会社","福岡県福岡市博多区博多駅前１丁目１５－２０　
ＮＭＦ博多駅前ビル６Ｆ","5,000万円",900,44,3,"福岡県",\180000,"あり",10,"毎週",123,"その他の分野","建物等維持管理業","総合職（将来管理者候補）"
"0815","福岡中央公共職業安定所","40010-121259","総合システム管理株式会社","福岡県福岡市博多区博多駅前１丁目１５－２０　
ＮＭＦ博多駅前ビル６Ｆ","5,000万円",900,44,3,"福岡県",\180000,"あり",10,"その他",105,"その他の分野","建物等維持管理業","清掃・設備・警備"
"0816","福岡東公共職業安定所","40120-422359","株式会社創和建設","福岡県糟屋郡篠栗町大字篠栗３７６７番地１","300万円",18,18,10,"福岡県",\220000,"あり",5,"その他",105,"建築・設備","舗装工事業","現場作業員"
"0817","福岡東公共職業安定所","40120-332859","大輝ロード株式会社","福岡県福岡市東区青葉7丁目2番6号","1,000万円",16,12,2,"福岡県",\202200,"あり",7,"毎週",129,"建築・設備","その他の設備工事業","施工管理(工事をスムーズに進める為の管理 業務や書類作成など)"
"0818","福岡東公共職業安定所","40120-331959","大輝ロード株式会社","福岡県福岡市東区青葉７丁目２番６号","1,000万円",16,12,2,"福岡県",\202200,"あり",7,"毎週",129,"建築・設備","その他の設備工事業","交通安全標識等の設置、施工"
"0819","福岡中央公共職業安定所","40010-34759","株式会社高崎組","福岡県福岡市城南区東油山６丁目１１番１３号","2,000万円",91,91,5,"福岡県",\220500,"あり",27,"毎週",123,"建築・設備","建築工事業（木造建築工事業を除く）","型枠大工見習"
"0820","福岡南公共職業安定所","40180-357859","株式会社竹本建設","福岡県春日市昇町6-10","6,500万円",41,37,5,"福岡県",\300000,"あり",11,"毎週",125,"建築・設備","土木工事業（舗装工事業を除く）","技能職(福岡)"
"0821","福岡中央公共職業安定所","40010-356359","株式会社ティ・アイ・エス","福岡県福岡市博多区比恵町３番２５号","1,000万円",120,39,1,"佐賀県",\177000,"あり",8,"毎週",121,"その他の分野","機械修理業（電気機械器具を除く）","製造技能職／佐賀県鳥栖市"
"0822","福岡中央公共職業安定所","40010-357159","株式会社ティ・アイ・エス","福岡県福岡市博多区比恵町３番２５号","1,000万円",120,39,1,"佐賀県",\177000,"あり",8,"毎週",121,"その他の分野","機械修理業（電気機械器具を除く）","購買・調達担当／佐賀県鳥栖市"
"0823","福岡中央公共職業安定所","40010-1428159","株式会社天禄商会","福岡県福岡市中央区大宮１丁目３番４号","7,500万円",95,20,2,"福岡県",\295930,"あり",22,"毎週",122,"建築・設備","電気業","技能職（北九州）"
"0824","福岡中央公共職業安定所","40010-1433859","株式会社天禄商会","福岡県福岡市中央区大宮１丁目３番４号","7,500万円",95,10,2,"大阪府",\295930,"あり",22,"毎週",122,"建築・設備","電気業","技能職（大阪府貝塚市）"
"0825","福岡中央公共職業安定所","40010-1431659","株式会社天禄商会","福岡県福岡市中央区大宮１丁目３番４号","7,500万円",95,9,2,"兵庫県",\295930,"あり",22,"毎週",122,"建築・設備","電気業","技能職（兵庫県尼崎市）"
"0826","福岡中央公共職業安定所","40010-1432959","株式会社天禄商会","福岡県福岡市中央区大宮１丁目３番４号","7,500万円",95,10,2,"兵庫県",\295930,"あり",22,"毎週",122,"建築・設備","電気業","技能職（姫路市）"
"0827","八女公共職業安定所","40140-28859","株式会社ニシコーフードサービス","福岡県八女市立野１２７－２","1,000万円",138,7,1,"福岡県",\180000,"あり",20,"毎週",105,"販売・小売・スーパー","各種食料品小売業","調理製造・販売職／店舗：福岡県内"
"0828","八女公共職業安定所","40140-29059","株式会社ニシコーフードサービス","福岡県八女市立野１２７－２","1,000万円",138,6,1,"熊本県",\180000,"あり",20,"毎週",105,"販売・小売・スーパー","各種食料品小売業","調理製造・販売職／店舗：熊本県内"
"0829","八女公共職業安定所","40140-8459","株式会社ニシコーフードサービス","福岡県八女市立野１２７－２","1,000万円",138,9,1,"鹿児島県",\180000,"あり",20,"毎週",105,"販売・小売・スーパー","各種食料品小売業","調理製造・販売職／店舗：鹿児島県内"
"0830","福岡南公共職業安定所","40180-303559","西嶋電設株式会社","福岡県那珂川市松木１－１６５","3,000万円",51,33,5,"福岡県",\275672,"あり",,"その他",115,"建築・設備","電気工事業","送電線路建設技能職"
"0831","福岡南公共職業安定所","40180-317059","西嶋電設株式会社","福岡県那珂川市松木１－１６５","3,000万円",51,18,2,"長崎県",\211610,"あり",,"その他",128,"建築・設備","電気工事業","送電線路建設技能職兼技術職"
"0832","福岡南公共職業安定所","40180-315959","西嶋電設株式会社","福岡県那珂川市松木１－１６５","3,000万円",51,33,2,"福岡県",\184200,"あり",,"その他",126,"建築・設備","電気工事業","電気工事士"
"0833","福岡中央公共職業安定所","40010-1595659","西日本鉄道株式会社","福岡県福岡市中央区天神１丁目１１番１号
ＯＮＥ　ＦＵＫＵＯＫＡ　ＢＬＤＧ．１０階","261億5,729万円",4586,2432,15,"福岡県",\186000,"あり",4,"その他",105,"運輸・倉庫・インフラ","鉄道業","養成自動車運転士"
"0834","福岡南公共職業安定所","40180-360559","株式会社福岡イエローハット","福岡県大野城市御笠川5丁目1-14","3,000万円",201,17,4,"福岡県",\216700,"あり",16,"その他",119,"販売・小売・スーパー","自動車小売業","ピットスタッフ(整備業務) ※大野城市・太宰府市・春日市・福岡市南区"
"0835","福岡南公共職業安定所","40180-361459","株式会社福岡イエローハット","福岡県大野城市御笠川5丁目1-14","3,000万円",201,10,4,"福岡県",\216700,"あり",16,"その他",119,"販売・小売・スーパー","自動車小売業","ピットスタッフ(整備業務) (久留米市・八女市・朝倉市)"
"0836","福岡南公共職業安定所","40180-363659","株式会社福岡イエローハット","福岡県大野城市御笠川5丁目1-14","3,000万円",201,7,2,"福岡県",\216700,"あり",16,"その他",119,"販売・小売・スーパー","自動車小売業","ピットスタッフ(整備業務) (大牟田市・大川市)"
"0837","福岡南公共職業安定所","40180-359359","株式会社福岡イエローハット","福岡県大野城市御笠川5丁目1-14","3,000万円",201,11,2,"福岡県",\216700,"あり",16,"その他",119,"販売・小売・スーパー","自動車小売業","ピットスタッフ(整備業務) (糸島市・福岡市早良区)"
"0838","福岡南公共職業安定所","40180-356959","株式会社福岡イエローハット","福岡県大野城市御笠川5丁目1-14","3,000万円",201,11,4,"福岡県",\216700,"あり",16,"その他",119,"販売・小売・スーパー","自動車小売業","ピットスタッフ(整備業務) (宗像市・糟屋郡新宮町・飯塚市)"
"0839","福岡南公共職業安定所","40180-362759","株式会社福岡イエローハット","福岡県大野城市御笠川5丁目1-14","3,000万円",201,11,4,"福岡県",\216700,"あり",16,"その他",119,"販売・小売・スーパー","自動車小売業","ピットスタッフ(整備業務) (福岡市東区、糟屋郡粕屋町)"
"0840","福岡南公共職業安定所","40180-364959","株式会社福岡イエローハット","福岡県大野城市御笠川5丁目1-14","3,000万円",201,7,2,"福岡県",\216700,"あり",16,"その他",119,"販売・小売・スーパー","自動車小売業","レジ・接客販売スタッフ(店内業務) (大牟田市大川市)"
"0841","福岡南公共職業安定所","40180-365859","株式会社福岡イエローハット","福岡県大野城市御笠川5丁目1-14","3,000万円",201,11,2,"福岡県",\216700,"あり",16,"その他",119,"販売・小売・スーパー","自動車小売業","レジ・接客販売スタッフ(店内業務) (糸島市・福岡市早良区)"
"0842","福岡南公共職業安定所","40180-366059","株式会社福岡イエローハット","福岡県大野城市御笠川5丁目1-14","3,000万円",201,11,4,"福岡県",\216700,"あり",16,"その他",119,"販売・小売・スーパー","自動車小売業","レジ・接客販売スタッフ(店内業務) (宗像市・糟屋郡新宮町・飯塚市)"
"0843","福岡南公共職業安定所","40180-367359","株式会社福岡イエローハット","福岡県大野城市御笠川5丁目1-14","3,000万円",201,11,4,"福岡県",\216700,"あり",16,"その他",119,"販売・小売・スーパー","自動車小売業","レジ・接客販売スタッフ(店内業務) (福岡市東区・糟屋郡粕屋町)"
"0844","福岡南公共職業安定所","40180-368159","株式会社福岡イエローハット","福岡県大野城市御笠川5丁目1-14","3,000万円",201,17,4,"福岡県",\216700,"あり",16,"その他",119,"販売・小売・スーパー","自動車小売業","レジ・接客販売スタッフ(店内業務) ※大野城市・太宰府市・春日市・福岡市南区"
